Season,Rk,ID,Name,TGTS,REC,YDS,TD,HOG_RATE,SNAP_SHARE,AVG_TGT_DIST,TOT_AIR_YARDS,AY/GAME,AY/REC,TOT_TGTS,Redzone_Tgts,Endzone_Tgts,Tgt_Accuracy,Tgt_Share,FP/TGT
2017,95,15038,T. King,37,18,240,3,9.4,80.3,13.49,499,62.4,27.7,37,3,4,,13.1,1.63
2017,96,16868,J. Hardy,29,20,221,3,10.7,44.7,9.76,283,28.3,14.2,29,7,3,,8.7,2.07
2017,97,16278,C. Latimer,31,19,287,2,8.7,49.8,11.61,360,32.7,18.9,31,2,4,,8.4,1.93
2017,98,18361,C. Rogers,37,23,284,1,8.8,71.4,9.41,348,34.8,15.1,37,2,1,,12.6,1.57
2017,99,8532,K. Britt,43,20,256,2,12.3,46.8,11.86,510,42.5,25.5,43,4,2,,10,1.34
2017,100,14587,J. Gordon,43,18,335,1,17.1,90.6,15.28,657,131.4,36.5,43,2,3,,26.4,1.34
2017,101,15974,J. Matthews,36,25,282,1,7.4,82.2,6.78,244,24.4,9.8,36,4,1,,12.6,1.59
2017,102,13171,A. Robinson,48,19,260,2,12.6,42.3,11.38,546,39,28.7,48,4,1,,9,1.19
2017,103,17986,T. Boyd,32,22,225,2,10,53.3,6.47,207,20.7,9.4,32,2,1,,10,1.77
2017,104,13693,T. Pryor,37,20,240,1,11.1,70.6,11.27,417,52.1,20.8,37,4,5,,13.9,1.35
2017,105,14465,J. Wright,25,18,198,2,12.9,24.9,7.2,180,15,10,25,2,1,,6.3,1.99
2017,106,18971,T. Taylor,28,16,231,1,14.1,21.2,10.71,300,18.8,18.8,28,1,0,,5.8,1.76
2017,107,12794,J. Kerley,27,22,217,1,10,59.5,8.63,233,29.1,10.6,27,1,1,,11.6,1.77
2017,108,16081,M. Campanaro,27,19,173,1,10.5,31,5.67,153,11.8,8.1,27,2,2,,5.9,1.72
2017,109,18103,J. Grant Sr.,22,13,203,2,16.3,14.9,9.41,207,13.8,15.9,22,1,2,,4,2.11
2017,110,18269,G. Allison,39,23,253,0,13.5,40.4,8,312,26,13.6,39,5,2,,8.9,1.19
2017,111,14850,R. Shepard,33,17,202,1,7.7,52.8,8.33,275,21.2,16.2,33,4,0,,8.1,1.37
2017,112,18241,J. Holton,18,9,218,3,11.5,26.2,18.89,340,34,37.8,18,1,3,,5,2.49
2017,113,19023,M. Hollins,22,16,226,1,9.5,32.6,12.36,272,24.7,17,22,0,0,,5.6,2.03
2017,114,13264,A. Holmes,23,13,120,3,8.6,43.8,14.52,334,33.4,25.7,23,5,2,,7.5,1.87
2017,115,18047,D. Robinson,39,21,212,0,9.3,74,11.44,446,44.6,21.2,39,8,4,,11.9,1.08
2017,116,19318,K. Bourne,34,16,257,0,13.7,39,13.09,445,44.5,27.8,34,8,4,,9.4,1.23
2017,117,17964,B. Miller,29,19,162,1,7.4,65.1,8.79,255,25.5,13.4,29,4,2,,9.2,1.42
2017,118,16305,D. Thomas,16,14,143,2,10.5,20.1,6.88,110,8.5,7.9,16,2,0,,3.8,2.54
2017,119,17914,L. Treadwell,35,20,200,0,9.2,45.6,12,420,32.3,21,35,1,1,,8,1.14
2017,120,17480,E. Rogers,36,18,149,1,11,43.4,8.28,298,24.8,16.6,36,9,1,,8.3,1.02
2017,121,18197,A. Erickson,16,12,180,1,11,16.5,11.25,180,11.2,15,16,1,0,,3.3,2.22
2017,122,17141,D. Byrd,17,10,105,2,10.1,35.7,9.18,156,19.5,15.6,17,3,2,,7.5,1.98
2017,123,11667,B. Marshall,33,18,154,0,12.8,85.1,10.55,348,69.6,19.3,33,2,1,,16.3,1.01
2017,124,18928,C. Samuel,26,15,115,0,13.7,37,9.58,249,31.1,16.6,26,1,0,,9.6,1.27
2017,125,16790,P. Dorsett II,18,12,194,0,7.1,38.3,20.44,368,36.8,30.7,18,1,0,,5.1,1.78
2017,126,16837,C. Conley,16,11,175,0,5.8,93.2,16.19,259,51.8,23.5,16,0,1,,10.4,1.78
2017,127,12722,K. Aiken,44,15,133,0,8.2,64.7,10,440,31.4,29.3,44,4,3,,10.4,0.64
2017,128,19017,J. Reynolds,24,11,104,1,12.2,43.4,8.92,214,26.8,19.5,24,8,6,,9.4,1.14
2017,129,17153,J. Taylor,20,13,142,0,8.5,40.2,10,200,22.2,15.4,20,1,0,,6.3,1.36
2017,130,18401,T. Lewis,15,10,116,1,15.6,11.4,9.6,144,10.3,14.4,15,2,2,,3.2,1.8
2017,131,8777,L. Murphy,17,8,121,1,9.1,48.6,10.12,172,28.7,21.5,17,4,2,,8.7,1.54
2017,132,18673,J. Mickens,11,6,77,2,11.7,15.2,7.73,85,9.4,14.2,11,5,0,,3.4,2.15
2017,133,17004,T. McBride,15,8,144,0,7.9,54.9,14.47,217,36.2,27.1,15,0,0,,8.8,1.49
2017,134,15714,B. Bersin,14,8,128,0,10.9,35.9,14.93,209,34.8,26.1,14,2,1,,8,1.49
2017,135,18914,M. Williams,23,11,95,0,11.3,35.6,11.96,275,30.6,25,23,4,4,,7.5,0.89
2017,136,8373,B. Tate,14,6,81,1,10.7,16.4,11.29,158,12.2,26.3,14,3,2,,3.7,1.44
2017,137,19006,J. Malone,17,6,63,1,9.8,36.8,13.82,235,26.1,39.2,17,2,1,,6.2,1.09
2017,138,19021,C. Hansen,16,9,94,0,7.4,55.8,11.56,185,30.8,20.6,16,1,0,,7.8,1.15
2017,139,19539,T. Rudolph,21,8,101,0,9,64.2,7.71,162,27,20.2,21,1,0,,11.1,0.86
2017,140,18039,P. Cooper,19,11,84,0,10.1,19.4,6.16,117,7.3,10.6,19,3,0,,3.7,0.95
2017,141,14478,M. Floyd,17,10,78,0,12.8,20.1,7,119,11.9,11.9,17,0,0,,5.1,1.05
2017,142,16787,B. Perriman,35,10,77,0,10.1,48.1,12.97,454,41.3,45.4,35,3,3,,9.3,0.51
2017,143,17079,K. Williams,18,9,84,0,15.3,31.5,10.56,190,31.7,21.1,18,2,0,,7.9,0.97
2017,144,18965,A. Stewart,13,6,82,0,7.2,25.4,8.85,115,9.6,19.2,13,1,0,,3.4,1.3
2017,145,18283,H. Sharp,9,5,54,1,8.7,53.9,8.67,78,26,15.6,9,1,1,,8.4,1.82
2017,146,18443,M. Harris,6,4,62,1,10.9,23.3,10.5,63,15.8,15.8,6,0,1,,4.4,2.7
2017,147,8771,D. Heyward-Bey,3,2,47,0,6.7,12.2,17,51,8.5,25.5,3,1,0,,1.7,5.3
2017,148,16141,W. Snead IV,16,8,92,0,8.5,39.9,7.5,120,15,15,16,3,0,,6.1,0.95
2017,149,16944,K. Clay,20,6,85,0,8.3,31.1,12.85,257,19.8,42.8,20,0,1,,5.5,0.76
2017,150,18985,A. Darboh,13,8,71,0,12.4,22.2,12.69,165,20.6,20.6,13,1,2,,5,1.16
2017,151,16529,F. Martino,6,5,96,0,16.7,11.5,11.67,70,14,14,6,0,0,,3.3,2.43
2017,152,8662,M. Thomas,7,5,93,0,8,25.7,11.43,80,13.3,16,7,0,0,,3.7,2.04
2017,153,18717,M. Hall,9,2,60,1,18.4,14.2,15.56,140,23.3,70,9,2,1,,5,1.56
2017,154,18014,L. Carroo,14,7,69,0,12.5,45,7.5,105,26.2,15,14,1,0,,8.9,0.99
2017,155,14424,B. Quick,8,6,76,0,11.6,24.8,7.38,59,11.8,9.8,8,1,0,,4.7,1.7
2017,156,18080,T. Davis,7,5,70,0,7.3,10.7,10,70,4.7,14,7,0,0,,1.3,1.9
2017,157,18602,T. McEvoy,10,5,113,0,10.6,18.8,17.5,175,21.9,35,10,2,3,,3.6,1.33
2017,158,16848,S. Coates,11,6,70,0,19,16,12.18,134,22.3,22.3,11,0,0,,4.9,1.18
2017,159,16831,J. Strong,4,3,38,1,10.3,50,8.25,33,33,11,4,1,1,,8,3.2
2017,160,14978,J. Hunter,10,4,23,1,22.7,13.2,11.3,113,22.6,28.2,10,2,3,,5.3,1.23
2017,161,15725,B. Golden,9,5,70,0,17.6,12.4,4.28,38.5,5.5,7.7,9,2,0,,3.6,1.33
2017,162,18611,B. Treggs,18,5,79,0,12.2,38.4,15.11,272,45.3,54.4,18,0,1,,8.5,0.64
2017,163,19348,J. Wilson,1,1,18,1,,0,0,0,0,0,1,1,0,,0.9,9.6
2017,164,18209,M. Johnson,8,5,45,0,8.9,24.5,17.88,143,23.8,28.6,8,0,1,,4.5,1.19
2017,165,18974,C. Williams,7,3,31,0,8.2,22.1,13.14,92,15.3,30.7,7,0,0,,3.2,1.34
2017,166,19008,R. Switzer,7,6,41,0,9,8,4.29,30,1.9,5,7,1,0,,1.4,1.23
2017,167,14973,M. Wheaton,17,3,51,0,10.4,41,14.24,242,34.6,80.7,17,0,0,,7.6,0.48
2017,168,19233,M. Clark,14,4,41,0,17.7,64.2,16.57,232,116,58,14,1,1,,19.7,0.58
2017,169,16469,J. Abbrederis,7,3,44,0,15.2,38,7,49,24.5,16.3,7,2,0,,8.1,1.06
2017,170,19080,N. Brown,9,4,33,0,12,18.2,7,63,9,15.8,9,1,0,,4.7,0.81
2017,171,17355,Q. Bray,4,3,39,0,8.9,8.5,9.75,39,4.3,13,4,0,0,,1.4,1.72
2017,172,19431,T. Gentry,6,3,35,0,3.4,77.2,12,72,18,24,6,1,0,,6,1.08
2017,173,14594,G. Whalen,6,4,23,0,8,62,10.5,63,31.5,15.8,6,0,0,,10,1.05
2017,174,15268,N. Williams,4,3,30,0,15.4,36.6,10.75,43,43,14.3,4,0,0,,9.5,1.5
2017,175,16536,B. Reedy,2,2,21,0,11.1,2.7,6.5,13,1.2,6.5,2,0,0,,0.5,2.9
2017,176,16731,C. Matthews,6,3,25,0,14.6,22.4,8.67,52,17.3,17.3,6,2,2,,5.2,0.92
2017,177,19184,J. Natson,5,2,18,0,26.3,4.4,12.4,62,8.9,31,5,0,0,,2.2,1.06
2017,178,19044,J. Agnew,2,2,18,0,33.3,2.5,-1.5,-3,-0.8,-1.5,2,0,0,,1.4,2.35
2017,179,19015,J. Chesson,4,2,18,0,5.9,38.9,0.75,3,1,1.5,4,0,0,,3.8,0.95
2017,180,17799,J. Leslie,1,1,26,0,8.3,17.6,22,22,22,22,1,0,0,,2.2,3.6
2017,181,17269,D. White,7,1,24,0,8,77,24,168,84,168,7,0,0,,10.6,0.49
2017,182,18581,D. Powe,4,2,13,0,8.5,62.7,9.75,39,39,19.5,4,0,0,,8.7,0.82
2017,183,19043,I. McKenzie,13,4,29,0,10.2,18.1,16.08,209,19,52.2,13,1,2,,3.3,0.25
2017,184,16480,J. Janis,5,2,12,0,12.2,13.5,19.2,96,19.2,48,5,0,0,,2.7,0.64
2017,185,19060,S. Gibson,3,2,11,0,30,19.2,4.33,13,13,6.5,3,0,0,,9.1,1.03
2017,186,16263,A. Robinson II,1,1,17,0,33.3,5,16,16,16,16,1,0,0,,4.8,2.7
2017,187,16768,K. White,4,2,6,0,9.3,72.9,4.25,17,17,8.5,4,0,0,,10,0.65
2017,188,11501,A. Benn,2,1,12,0,5.9,12.3,7,14,3.5,14,2,0,0,,1.7,1.1
2017,189,6211,H. Douglas,3,1,8,0,23.1,24.5,8.67,26,26,26,3,0,0,,12.5,0.6
