Season,Rk,ID,Name,Age,TGTS,REC,YDS,TD,Cushion,TGT_SEP,True_Catch_Rate,Contested_TGTS,Contested_REC,Contested_Rate,Y/REC,Y/TGT,Y/ROUTE,Total_Drops,Drop_Rate
2019,124,14865,M. Goodwin,31.6,21,12,186,1,,2.14,63.2,3,1,33.3,15.5,8.9,,4,19
2019,125,21005,P. Campbell,24.9,24,18,127,1,,1.44,90,2,1,50,7.1,5.3,,1,4.2
2019,126,19969,D. Ratley,27.1,24,12,200,1,,1.31,70.6,11,3,27.3,16.7,8.3,,0,0
2019,127,19207,T. Patrick,28.5,31,16,218,0,,1.77,84.2,5,3,60,13.6,7,,2,6.5
2019,128,3943,D. Jackson,35.5,11,9,159,2,,2.09,90,0,0,,17.7,14.5,,1,9.1
2019,129,20820,A. Isabella,25.6,13,9,189,1,,1.12,90,3,1,33.3,21,14.5,,0,0
2019,130,20150,B. Pringle,28.6,16,12,170,1,,1.41,92.3,0,0,,14.2,10.6,,1,6.2
2019,131,18666,D. Williams,29.1,19,12,166,1,,1.37,70.6,2,1,50,13.8,8.7,,1,5.3
2019,132,19854,D. Pettis,26.6,24,11,109,2,,1.48,57.9,5,1,20,9.9,4.5,,4,16.7
2019,133,17914,L. Treadwell,27,16,9,184,1,,3.09,64.3,4,0,0,20.4,11.5,,1,6.2
2019,134,16728,D. Inman,33.4,21,12,181,0,,1.19,60,3,0,0,15.1,8.6,,4,19
2019,135,18422,K. Raymond,27.8,12,9,170,1,,0.88,90,3,2,66.7,18.9,14.2,,0,0
2019,136,18080,T. Davis,28.9,11,8,111,0,,1,100,0,0,,13.9,10.1,,0,0
2019,137,20077,R. James,26.8,10,6,165,1,,2.1,75,0,0,,27.5,16.5,,1,10
2019,138,17218,D. Carter,29.2,14,11,162,0,,2.29,91.7,0,0,,14.7,11.6,,1,7.1
2019,139,21072,K. Doss,26.2,14,11,133,0,,1.57,91.7,2,1,50,12.1,9.5,,1,7.1
2019,140,19023,M. Hollins,28.7,23,10,125,0,,1.24,66.7,5,1,20,12.5,5.4,,0,0
2019,141,16798,D. Smith,30.3,9,5,113,1,,1.28,100,0,0,,22.6,12.6,,0,0
2019,142,19980,D. Cain,25.8,20,9,124,0,,0.78,56.2,4,2,50,13.8,6.2,,1,5
2019,143,21142,O. Zaccheaus,24.9,5,3,115,1,,1.6,75,1,0,0,38.3,23,,0,0
2019,144,20224,C. Blake,26,24,11,91,0,,1.35,84.6,7,1,14.3,8.3,3.8,,0,0
2019,145,19779,B. Zylstra,29.2,12,8,106,0,,1.58,100,1,1,100,13.2,8.8,,0,0
2019,146,21528,D. Willis,25,16,9,82,0,,1.12,69.2,5,1,20,9.1,5.1,,0,0
2019,147,19917,A. Callaway,25.4,15,8,89,0,,1.2,66.7,3,0,0,11.1,5.9,,3,20
2019,148,11056,A. Brown,33.9,8,4,56,1,,1.12,57.1,4,1,25,14,7,,0,0
2019,149,18089,R. Higgins,27.7,11,4,55,1,,1.64,80,1,0,0,13.8,5,,0,0
2019,150,20038,B. Berrios,26.7,13,6,115,0,,1.38,75,3,3,100,19.2,8.8,,1,7.7
2019,151,14828,C. Hogan,34.6,15,8,67,0,,2,80,2,0,0,8.4,4.5,,1,6.7
2019,152,19811,M. Ateman,27.7,10,5,116,0,,1.6,71.4,2,1,50,23.2,11.6,,0,0
2019,153,20194,R. Gafford,26,2,2,66,1,,5.75,100,0,0,,33,33,,0,0
2019,154,16919,J. Nelson,30.1,5,4,36,1,,0.6,100,0,0,,9,7.2,,0,0
2019,155,20925,R. Ridley,25.9,7,6,69,0,,2.07,100,0,0,,11.5,9.9,,0,0
2019,156,16456,T. Jones,29.9,4,3,38,1,,0,,0,0,,12.7,9.5,,0,0
2019,157,20250,R. Foster,28.1,18,3,64,0,,1.39,27.3,4,0,0,21.3,3.6,,0,0
2019,158,20081,T. Sherfield,26.3,13,4,80,0,,1.38,66.7,4,1,25,20,6.2,,1,7.7
2019,159,19568,A. Patton,28,17,6,56,0,,0.97,66.7,2,0,0,9.3,3.3,,1,5.9
2019,160,20679,K. Hodge,27.4,10,4,76,0,,1.35,80,2,1,50,19,7.6,,0,0
2019,161,19008,R. Switzer,27.6,11,8,27,0,,1.82,100,0,0,,3.4,2.5,,0,0
2019,162,18540,T. Jones,29.5,11,4,61,0,,0.45,66.7,5,1,20,15.2,5.5,,1,9.1
2019,163,20013,C. Wilson Jr.,26.6,8,5,46,0,,0.44,83.3,1,1,100,9.2,5.8,,1,12.5
2019,164,21163,D. Harty,24.5,6,6,24,0,,1,100,0,0,,4,4,,0,0
2019,165,17269,D. White,30.6,9,4,51,0,,0.78,100,3,0,0,12.8,5.7,,0,0
2019,166,13887,T. Benjamin,32.4,16,6,30,0,,1.56,54.5,2,0,0,5,1.9,,4,25
2019,167,20511,C. Lacy,26.4,10,3,60,0,,1.4,75,0,0,,20,6,,1,10
2019,168,20582,C. Beebe,28,3,2,70,0,,2,100,0,0,,35,23.3,,0,0
2019,169,21548,V. Bryant,25.8,1,1,15,1,,1,100,1,1,100,15,15,,0,0
2019,170,20722,D. Spencer,30.2,8,6,31,0,,1.94,120,1,0,0,5.2,3.9,,0,0
2019,171,15974,J. Matthews,29.9,12,4,33,0,,0.58,44.4,5,1,20,8.2,2.8,,0,0
2019,172,16946,G. Davis,30.4,3,3,38,0,,0.67,100,1,1,100,12.7,12.7,,0,0
2019,173,20373,D. Burnett,24.7,4,2,48,0,,0.75,100,1,0,0,24,12,,0,0
2019,174,21312,A. Hollins,25.5,4,2,46,0,,1.75,66.7,0,0,,23,11.5,,1,25
2019,175,21178,J. Moore Jr.,27,5,2,43,0,,1.2,100,0,0,,21.5,8.6,,0,0
2019,176,9331,M. Crabtree,34.7,5,4,22,0,,0.8,100,0,0,,5.5,4.4,,0,0
2019,177,16802,D. Funchess,28.1,5,3,32,0,,0.6,60,1,0,0,10.7,6.4,,1,20
2019,178,18241,J. Holton,30.8,15,3,21,0,,1.2,37.5,3,0,0,7,1.4,,2,13.3
2019,179,16232,D. Moncrief,28.8,15,4,18,0,,0.93,30.8,4,0,0,4.5,1.2,,2,13.3
2019,180,18116,C. Core,28.1,5,3,28,0,,1.4,100,0,0,,9.3,5.6,,0,0
2019,181,11565,A. Roberts,34.4,7,3,20,0,,2.29,60,1,0,0,6.7,2.9,,0,0
2019,182,20067,S. Mitchell Jr.,28.1,6,2,37,0,,2,100,1,0,0,18.5,6.2,,0,0
